wavelength;intensity
2.605823059e+002;-2.435053000e-003
2.607896118e+002;-1.482979860e-005
2.609969482e+002;-1.652039587e-003
2.612042847e+002;1.230873284e-003
2.614116211e+002;1.835928997e-003
2.616189880e+002;1.052915701e-003
2.618263550e+002;-1.723222551e-003
2.620337524e+002;8.749581175e-004
2.622411499e+002;2.547759330e-003
2.624485779e+002;2.761308569e-003
2.626560364e+002;-3.360432340e-003
2.628634949e+002;3.410853678e-004
2.630709534e+002;-4.534952343e-003
2.632784424e+002;-3.111291677e-003
2.634859314e+002;-2.995619143e-004
2.636934509e+002;8.393665776e-004
2.639009705e+002;-2.577418927e-003
2.641085205e+002;-4.419279867e-004
2.643161011e+002;-2.995619143e-004
2.645236816e+002;-9.046177147e-004
2.647312622e+002;-1.153758261e-003
2.649388733e+002;1.124098664e-003
2.651464844e+002;-8.690261748e-004
2.653541260e+002;4.718841985e-003
2.655617676e+002;1.551196910e-003
2.657694397e+002;8.037750958e-004
2.659771423e+002;1.551196910e-003
2.661848145e+002;-5.487025483e-004
2.663925476e+002;2.618942410e-003
2.666002808e+002;-1.474082004e-003
2.668080139e+002;-8.690261748e-004
2.670157776e+002;-1.509673428e-003
2.672235413e+002;-1.865588594e-003
2.674313354e+002;-1.216043456e-004
2.676391296e+002;-2.292686841e-003
2.678469543e+002;-1.936771674e-003
2.680548096e+002;-3.289249260e-003
2.682626343e+002;-1.296124421e-003
2.684705200e+002;1.124098664e-003
2.686784058e+002;-5.042131306e-005
2.688862915e+002;-7.266601315e-004
2.690942078e+002;-4.775194975e-004
2.693021240e+002;4.469701089e-003
2.695100708e+002;3.054938570e-004
2.697180176e+002;2.699023171e-004
2.699259949e+002;-7.978431531e-004
2.701339722e+002;2.369801747e-003
2.703419800e+002;9.105495992e-004
2.705499878e+002;-2.283788926e-004
2.707580261e+002;-2.995619143e-004
2.709660950e+002;-2.292686841e-003
2.711741333e+002;-8.690261748e-004
2.713822327e+002;1.586788450e-003
2.715903015e+002;1.480013831e-003
2.717984314e+002;-1.011392218e-003
2.720065613e+002;9.105495992e-004
2.722146912e+002;-1.224941341e-003
2.724228516e+002;1.124098664e-003
2.726310120e+002;-2.684193430e-003
2.728392029e+002;3.259589663e-003
2.730473938e+002;1.275362592e-004
2.732556152e+002;1.337647787e-003
2.734638367e+002;6.258175126e-004
2.736720886e+002;9.061006829e-003
2.738803406e+002;4.122683895e-004
2.740886230e+002;2.334210323e-003
2.742969055e+002;-9.402091964e-004
2.745052185e+002;1.302056247e-003
2.747135315e+002;-4.214628600e-003
2.749218750e+002;1.631277846e-004
2.751302185e+002;-1.509673428e-003
2.753385620e+002;-1.794405631e-003
2.755469666e+002;4.834514402e-004
2.757553406e+002;-1.545264968e-003
2.759637756e+002;-3.680755850e-003
2.761721802e+002;2.191844163e-003
2.763806152e+002;-9.758007363e-004
2.765890808e+002;1.275362592e-004
2.767975464e+002;-5.842940300e-004
2.770060425e+002;3.686687909e-003
2.772145386e+002;1.764746034e-003
2.774230652e+002;-8.601282752e-005
2.776315918e+002;2.156252740e-003
2.778401489e+002;9.461411391e-004
2.780487061e+002;2.049478237e-003
2.782572632e+002;1.480013831e-003
2.784658813e+002;1.729154494e-003
2.786744690e+002;1.729154494e-003
2.788830872e+002;-2.506235847e-003
2.790917358e+002;-2.435053000e-003
2.793003845e+002;-4.001079593e-003
2.795090637e+002;1.275362592e-004
2.797177429e+002;-1.402898924e-003
2.799264221e+002;2.013886580e-003
2.801351318e+002;-5.842940300e-004
2.803438721e+002;2.076171768e-005
2.805526123e+002;-1.580856508e-003
2.807613831e+002;-2.363869920e-003
